filename,rows_in_df,final_path,windows_path,num_windows
課文_L2_CH2_2-1,534,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_2-1__windows.csv,76
課文_L2_CH3_1-1,925,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_1-1__windows.csv,140
課文_L2_CH3_2-1,938,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_2-1__windows.csv,152
課文_L2_CH4_1-1,695,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_1-1__windows.csv,118
課文_L2_CH4_2-1,708,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_2-1__windows.csv,127
課文_L2_CH5_1-1,856,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH5_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH5_1-1__windows.csv,122
課文_L2_CH5_2-1,845,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH5_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH5_2-1__windows.csv,113
課文_L5_CH1_1-1,1925,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH1_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH1_1-1__windows.csv,356
課文_L5_CH1_2-1,1946,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH1_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH1_2-1__windows.csv,364
課文_L5_CH2_1-1,2056,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH2_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH2_1-1__windows.csv,339
課文_L5_CH2_2-1,2012,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH2_2-1__windows.csv,343
